event,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,currency,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
Listed for sale,895000,577,San Diego,CA,1992,650 Columbia St UNIT 218,92101,USD,1550,2,2,1,2,1,One,0,1,0,CONDO,San Diego County
Listed for sale,775000,749,San Diego,CA,2004,300 W Beech St UNIT 1409,92101,USD,1035,2,2,1,2,1,One,0,1,0,CONDO,San Diego County
Listed for sale,560000,541,San Diego,CA,2005,525 11th Ave UNIT 1204,92101,USD,1036,2,2,1,2,1,One,0,0,0,CONDO,San Diego County
Listed for sale,325000,373,Escondido,CA,1990,101 S Spruce St UNIT 103,92025,USD,872,2,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,748900,423,Escondido,CA,1989,1220 Shay Pl,92026,USD,1769,3,4,1,2,1,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,495000,352,Escondido,CA,1985,2423 Hawthorn Gln,92027,USD,1406,2,3,1,2,1,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,444000,330,Escondido,CA,1991,820 E 3rd Ave APT 2,92025,USD,1344,3,2,1,2,1,Three Or More,0,1,0,CONDO,San Diego County
Listed for sale,540000,536,Escondido,CA,1959,1126 E 5th Ave,92025,USD,1008,1,2,0,0,0,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,320000,370,Escondido,CA,1981,2094 E Grand Ave UNIT 47,92027,USD,864,1,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,894000,264,Escondido,CA,2007,2905 Burnet Dr,92027,USD,3382,4,5,1,3,1,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,325000,339,Escondido,CA,1981,2041 E Grand Ave UNIT 20,92027,USD,959,2,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,1200000,355,Escondido,CA,1991,1558 Dublin Ln,92027,USD,3376,4,4,1,4,1,Two,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,900000,210,Escondido,CA,1990,2215 Puesta Del Sol,92027,USD,4293,5,3,1,3,1,Three Or More,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,829999,542,San Diego,CA,1958,3017 Melbourne Dr,92123,USD,1531,2,3,1,0,0,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,859000,622,San Diego,CA,1959,8853 Heraldry St,92123,USD,1381,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,795000,586,San Diego,CA,1958,8511 Neva Ave,92123,USD,1356,2,4,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,999000,461,San Diego,CA,1999,2908 W Canyon Ave,92123,USD,2166,3,3,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,850000,553,San Diego,CA,1958,3012 Larkin Pl,92123,USD,1536,2,3,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,799000,754,San Diego,CA,1960,2217 Cardinal Dr,92123,USD,1060,2,3,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,749000,531,San Diego,CA,1998,9683 Stonecrest Blvd,92123,USD,1411,3,2,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,850900,607,San Diego,CA,2018,2756 Via Alta Pl,92123,USD,1401,3,2,1,2,1,Three Or More,0,1,0,CONDO,San Diego County
Listed for sale,699900,778,San Diego,CA,1958,8441 Macawa Ave,92123,USD,900,1,4,0,0,0,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,525900,378,Chula Vista,CA,1974,246 Rancho Dr UNIT B,91911,USD,1392,2,4,0,0,0,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,410000,408,San Diego,CA,2005,780 Castaway Cv,92154,USD,1006,2,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,650000,433,Chula Vista,CA,1959,3934 Date Ct,91911,USD,1500,2,3,1,1,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,975000,0,Chula Vista,CA,1945,366-372 Date St,91911,USD,0,0,0,1,0,0,0,0,0,0,MULTI_FAMILY,San Diego County
Listed for sale,739900,347,San Diego,CA,2016,4842 Fantail Pl,92154,USD,2135,3,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,339000,210,Jacumba,CA,2005,44725 El Centro Ave,91934,USD,1616,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,335000,536,San Diego,CA,1996,6666 Beadnell Way UNIT 18,92117,USD,625,1,1,0,0,0,One,0,1,0,CONDO,San Diego County
Listed for sale,621900,598,San Diego,CA,1974,2727 Morena Blvd UNIT 104,92117,USD,1040,2,2,1,2,0,0,1,1,0,CONDO,San Diego County
Listed for sale,789000,775,San Diego,CA,1962,4502 Lyric Ln,92117,USD,1018,1,3,1,1,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,849000,740,San Diego,CA,1981,3743 Balboa Ter UNIT D,92117,USD,1147,2,2,1,1,1,Three Or More,1,1,0,TOWNHOUSE,San Diego County
Listed for sale,875000,556,San Diego,CA,1965,3580 Merrimac Ave,92117,USD,1573,2,4,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1499000,1014,San Diego,CA,1969,3691 Vista De La Bahia,92117,USD,1478,2,3,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,819000,624,San Diego,CA,1953,4573 Cochise Way,92117,USD,1312,2,3,1,0,0,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,900000,703,San Diego,CA,1959,5049 Mount Gaywas Dr,92117,USD,1281,2,4,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,324000,536,San Diego,CA,1994,6750 Beadnell Way UNIT 17,92117,USD,605,1,1,1,0,0,Two,0,0,0,CONDO,San Diego County
Listed for sale,625000,381,San Marcos,CA,1966,962 Buena Creek Rd,92069,USD,1642,3,3,1,2,1,One,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,899000,510,San Marcos,CA,1998,1775 Turnberry Dr,92069,USD,1762,2,3,1,2,1,One,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,825000,523,San Marcos,CA,1976,1860 Amie Ct,92069,USD,1578,3,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,825000,0,San Marcos,CA,1972,782-84 Vineyard Rd,92069,USD,0,0,0,0,0,0,One,0,0,0,MULTI_FAMILY,San Diego County
